"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2025-07-02","","5003.6201171875","","","","","0.503630816936493","2.75999999046326","","156","","70","167","","","1.04066399972615","59.42","4","6","14","9","0","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-07-03","","45394.859375","165","578","1037.225","","1.75566804409027","7.18200016021729","","76","","59","174","","","0.581267642794898","59.14","2","49","52","7","0","","","","","","64","27","9","4","1","0","0","","","","",""
"A jeun","Run","","","","2025-07-09","","5220","","","","","0.488611111111111","2.96759522455941","","","","","","","","","60","","","","","","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-07-09","","44523.26171875","192","518","1192.768","","1.72543573379517","7.16800022125244","","76","","146","174","","","0.625616268375385","67.33","1","27","67","15","0","","","","","","43","42","18","1","0","0","0","","","","",""
"Strength","Strength","","","","2025-07-10","","0","","","","","1.12457394599915","0","","","","112","164","","","0.603560487366478","45.51","42","24","4","0","0","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-07-11","","43252.91015625","155","1139","1063.967","","1.91829061508179","6.26300001144409","","70","","137","179","","","0.568339087645107","61.5","7","61","41","11","0","","","","","","77","26","9","3","1","0","0","","","","",""
"Road Cycling","Bike","","","","2025-07-12","","65361.5","164","490","1536.213","","2.60890316963196","6.95900011062622","","76","","140","159","","","0.574056970967558","85.74","14","46","98","5","0","","","","","","83","61","11","2","0","0","0","","","","",""
"Road Cycling","Bike","","","","2025-07-13","","80438.8515625","176","403","2079.519","","3.29283547401428","6.78599977493286","","75","","143","168","","","0.599127407205799","117.86","18","44","111","34","0","","","","","","86","96","14","3","0","0","0","","","","",""
"Fitness Equipment","Other","","","","2025-07-14","","0","","","","","1.17111110687256","0","","","","103","150","","","0.599687540276419","46.84","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-15","","5300","","","","","0.502381145954132","2.93048860228651","","156","","143","158","","","1.40571625955118","68","0","11","19","0","0","","","","","","","","","","","","","","","","5","7"
"Running","Run","","","","2025-07-17","","5300","","","","","0.48812997341156","3.01604552560623","","156","","151","169","","","1.57883692054167","68","0","3","20","8","0","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-07-19","","60553.30078125","176","933","1410.89","","2.23952913284302","7.51100015640259","","78","","147","170","","","0.60052255168011","80.67","6","31","59","45","0","","","","","","68","50","15","3","0","0","0","","","","",""
"Road Cycling","Bike","","","","2025-07-20","","28293.6796875","165","487","638.358","","1.07743942737579","7.29400014877319","","79","","139","163","","","0.587310755790626","36.85","3","28","34","3","0","","","","","","39","17","6","3","1","0","0","","","","",""
"Running","Run","","","","2025-07-23","","5174.81982421875","","","","","0.491254985332489","2.92600011825562","","156","","152","169","","","1.10702997791307","65.54","0","6","13","13","0","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-07-23","","52112.98828125","190","684","1422.654","","2.0817768573761","6.9539999961853","","77","","142","180","","","0.667444077317602","92.29","7","42","66","18","1","","","","","","56","39","23","7","1","0","0","","","","",""
"Road Cycling","Bike","","","","2025-07-27","","58587.30078125","186","566","1415.142","","2.12405276298523","7.66200017929077","","80","","142","168","","","0.604558490237458","77.5","7","36","80","11","0","","","","","","59","50","17","3","0","0","0","","","","",""
"Road Cycling","Bike","","","","2025-07-29","","43292.0703125","149","816","1013.823","","1.90576839447021","6.30999994277954","","71","","133","158","","","0.526368454104904","52.56","14","62","43","0","0","","","","","","77","29","7","2","1","0","0","","","","",""
"Road Cycling","Bike","","","","2025-07-30","","102859.4921875","178","464","2588.858","","4.04347133636475","7.06599998474121","","79","","139","170","","","0.598091452256203","144.65","17","88","145","5","0","","","","","","117","105","18","4","1","0","0","","","","",""
"Mountain Biking","MTB","","","","2025-08-11","","6652.5498046875","","","","","0.543170273303986","3.40199995040894","","","","145","162","","","0.730486204774748","31.62","1","8","23","4","0","","","","","","","","","","","","","","","","",""
"Mountain Biking","MTB","","","","2025-08-11","","20417.16015625","","","","","1.06661856174469","5.31699991226196","","","","130","172","","","0.645342291285509","49.33","14","32","19","2","0","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-08-13","","0","","","","","1.21807622909546","0","","","","125","165","","","0.621933465634389","52.44","19","46","10","1","0","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2025-08-13","","0","","","","","0.225365281105042","0","","","","118","126","","","0.612116300492284","9.02","2","13","0","0","0","","","","","","","","","","","","","","","","",""
"Mountain Biking","MTB","","","","2025-08-14","","6755.66015625","","","","","0.534232199192047","3.51300001144409","","","","149","166","","","0.760477077557076","34.07","0","2","27","3","0","","","","","","","","","","","","","","","","",""
"Mountain Biking","MTB","","","","2025-08-14","","21135.76953125","","","","","0.963486671447754","6.0939998626709","","","","133","163","","","0.647260910509317","44.67","7","31","22","1","0","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-08-15","","39289.73046875","183","418","1154.725","","1.75316691398621","6.22499990463257","","76","","147","182","","","0.671462837087673","78.81","4","28","46","26","7","","","","","","54","24","22","7","0","0","0","","","","6","3"
"Strength","Strength","","","","2025-08-21","","0","","","","","1.29383671283722","0","","","","119","158","","","0.607422031539277","53.23","27","45","7","0","0","","","","","","","","","","","","","","","","",""
